disasterNumber,declarationDate,incidentType,title,state,lockedInCeilingAmount,mitigationDollarsAvailable,obligatedTotalAmount
1518,2004-05-25T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Iowa,1665371.0,619052.0,1500076.0
1705,2007-05-25T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",Iowa,3296237.0,1236425.0,2957925.0
1727,2007-09-14T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Iowa,1219393.0,351584.0,1200284.0
1763,2008-05-27T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Iowa,294048645.0,33655101.0,274772523.0
4181,2014-07-14T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Iowa,1237149.0,436267.0,861379.0
4184,2014-07-24T00:00:00.000Z,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Iowa,3669710.0,858428.0,2990730.0
1930,2010-07-29T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",Iowa,19889628.0,5374457.0,15487774.0
4187,2014-08-05T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Iowa,2961986.0,628365.0,2478462.0
4234,2015-07-31T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Iowa,1493022.0,107271.72,1458759.28
1017,1994-03-16T00:00:00.000Z,Severe Storm,SEVERE ICE STORMS AND FLOODING,Delaware,855980.0,0.0,901267.0
4119,2013-05-31T00:00:00.000Z,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",Iowa,1171493.0,225801.0,1002978.0
4126,2013-07-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Iowa,2920805.0,316013.0,2747619.0
1592,2005-07-06T00:00:00.000Z,Flood,HEAVY RAINS AND FLOODING,Idaho,117432.0,68760.0,82281.0
4333,2017-08-27T00:00:00.000Z,Flood,"FLOODING, LANDSLIDES, AND MUDSLIDES",Idaho,468670.0,108865.16,382722.84
1987,2011-05-20T00:00:00.000Z,Flood,"FLOODING, LANDSLIDES, AND MUDSLIDES",Idaho,568759.0,187452.0,409119.0
1927,2010-07-27T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Idaho,662883.0,471636.0,223662.0
1020,1994-03-31T00:00:00.000Z,Tornado,"TORNADOES, FLOODING, AND SEVERE STORMS",Georgia,799595.0,682.0,838051.0
897,1991-03-15T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Georgia,226815.0,61063.0,177855.0
1476,2003-07-11T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Indiana,1493752.0,427611.0,1493653.0
1732,2007-11-30T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Indiana,863944.0,103537.0,802654.0
1520,2004-06-03T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Indiana,743509.0,504330.0,451971.0
1042,1994-10-19T00:00:00.000Z,Severe Storm,"HEAVY RAINS, TORNADOS, FLOODING, HIGH WINDS",Georgia,2128044.0,-1.0,2210706.0
1418,2002-06-13T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES AND FLOODING",Indiana,861988.0,220671.0,888018.0
1832,2009-04-22T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Indiana,467384.0,281610.0,208629.0
4363,2018-05-04T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Indiana,2589351.0,548322.7,2558898.3
1414,2002-05-07T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES AND FLOODING",Kentucky,2099590.0,644417.0,2027706.0
4057,2012-03-06T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",Kentucky,5113904.0,2295333.59,3068640.41
1818,2009-02-05T00:00:00.000Z,Severe Ice Storm,SEVERE WINTER STORM AND FLOODING,Kentucky,48743504.0,6156230.82,44970830.18
1388,2001-08-15T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Kentucky,2369849.0,992259.0,2023999.0
1523,2004-06-10T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, FLOODING, AND MUDSLIDES",Kentucky,3039335.0,2854063.0,1007424.0
1310,2000-01-10T00:00:00.000Z,Tornado,"TORNADOES, SEVERE STORMS, TORRENTIAL RAINS, AND FLASH FLOODING",Kentucky,948695.0,951193.0,250405.0
1252,1998-10-05T00:00:00.000Z,Severe Storm,WA STORMS & FLOODING 5/26/98,Washington,270899.0,0.0,286725.0
1925,2010-07-23T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND MUDSLIDES",Kentucky,4118251.0,1498605.96,2821027.04
1204,1998-02-12T00:00:00.000Z,Severe Storm,"SEVERE STORMS, HIGH WINDS, TORNADOES, AND FLOODING",Florida,1941265.0,261730.0,1764277.0
1195,1998-01-06T00:00:00.000Z,Severe Storm,"SEVERE STORMS, HIGH WINDS, TORNADOES, AND FLOODING",Florida,15442242.0,1171292.0,14753069.0
1855,2009-08-14T00:00:00.000Z,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS AND FLOODING",Kentucky,7335686.0,3621807.0,4072594.0
4196,2014-09-30T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Kentucky,1117328.0,72441.86,1099523.14
1000,1993-07-22T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Kansas,15395904.0,0.0,15782028.0
4218,2015-05-12T00:00:00.000Z,Flood,"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES",Kentucky,4124526.0,539141.17,3787073.83
1976,2011-05-04T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Kentucky,8319661.0,3043839.05,5682652.95
4313,2017-05-18T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Idaho,1616908.0,177754.15,1518220.85
4310,2017-04-21T00:00:00.000Z,Flood,SEVERE WINTER STORMS AND FLOODING,Idaho,1065982.0,465651.0,652458.0
1630,2006-02-27T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Idaho,147329.0,51151.0,138344.0
1781,2008-07-31T00:00:00.000Z,Flood,FLOODING,Idaho,255568.0,75972.0,192093.0
4595,2021-04-23T00:00:00.000Z,Flood,"SEVERE, STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Kentucky,19045986.0,14009096.62,8211220.38
1254,1998-10-14T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING AND TORNADOES",Kansas,1006006.0,279532.0,750065.0
1054,1995-06-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, HAIL, FLOODING",Missouri,2187234.0,1.0,2284876.0
1573,2005-01-21T00:00:00.000Z,Severe Storm,SEVERE WINTER STORMS AND FLOODING,Indiana,2476257.0,819978.0,2364984.0
1487,2003-09-05T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Indiana,711325.0,217404.0,697502.0
1766,2008-06-08T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",Indiana,25531906.0,8705461.0,18074955.0
1662,2006-10-06T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Indiana,1911972.0,1507648.0,939730.0
1121,1996-06-24T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Iowa,484760.0,0.0,509154.0
1740,2008-01-30T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Indiana,1899055.0,691307.0,1300611.0
1795,2008-09-23T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Indiana,8697584.0,5873637.0,3249259.0
868,1990-05-26T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Iowa,574501.0,0.0,610339.0
1542,2004-09-01T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES AND FLOODING",Indiana,209109.0,74945.0,194011.0
992,1993-06-07T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,New Mexico,162576.0,59241.0,111637.0
1454,2003-03-14T00:00:00.000Z,Severe Storm,"SEVERE WINTER ICE AND SNOW STORMS, HEAVY RAIN, FLOODING, TORNADOES, AND MUD AND ",Kentucky,3407821.0,1948999.0,2388516.0
1407,2002-04-04T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Kentucky,3074793.0,1784005.0,2133460.0
1703,2007-05-25T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, MUDSLIDES, AND ROCKSLIDES",Kentucky,455444.0,153933.0,423213.0
1471,2003-06-03T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, MUD AND ROCK SLIDES, AND TORNADOES",Kentucky,722153.0,639434.0,279127.0
1537,2004-08-06T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Kentucky,254677.0,107563.0,215809.0
1320,2000-02-28T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Kentucky,679140.0,446481.0,420140.0
1025,1994-04-26T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Illinois,2617439.0,0.0,2727672.0
1475,2003-07-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, MUD AND ROCK SLIDES, AND TORNADOES",Kentucky,1276261.0,842045.0,781278.0
997,1993-07-09T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Illinois,34246985.0,882213.0,34133921.0
1757,2008-05-19T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND LANDSLIDES",Kentucky,509501.0,45649.0,488767.0
986,1993-04-26T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Iowa,169562.0,0.0,181891.0
1133,1996-08-21T00:00:00.000Z,Severe Storm,"SEVERE STORMS, AND FLOODING",Iowa,683307.0,0.0,719373.0
1521,2004-06-08T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Louisiana,445270.0,572706.0,0.0
1064,1995-08-18T00:00:00.000Z,Severe Storm,"SEVERE THUNDERSTORMS, WINDS, FLOODING, TORNADOES, AND HEAT",Minnesota,768959.0,0.0,813665.0
4431,2019-05-01T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",California,7730527.0,6186502.64,3090129.36
4430,2019-04-29T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Iowa,83505.0,100206.0,0.0
4239,2015-08-12T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE",Kentucky,3195940.0,673297.19,2678923.81
4718,2023-07-06T00:00:00.000Z,Flood,FLOODING,South Dakota,345804.0,374621.0,0.0
4649,2022-03-29T00:00:00.000Z,Flood,"SEVERE STORM, FLOODING, AND LANDSLIDES",Puerto Rico,381826.0,458182.0,0.0
4657,2022-06-29T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Oklahoma,918346.0,1090360.19,11654.81
874,1990-07-13T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",Wisconsin,357016.0,0.0,381442.0
994,1993-07-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",Wisconsin,10618365.0,490.0,10892519.0
1364,2001-04-10T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Massachusetts,1562356.0,346589.0,1615134.0
1701,2007-05-16T00:00:00.000Z,Severe Storm,SEVERE STORMS AND INLAND AND COASTAL FLOODING,Massachusetts,1364794.0,1315798.0,439600.0
4008,2011-07-25T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Kentucky,1498346.0,309490.77,1262124.23
4276,2016-08-09T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Wisconsin,2108980.0,1134981.93,1077127.07
1177,1997-06-13T00:00:00.000Z,Severe Storm,"SEVERE STORMS, SNOWMELT, LAND/MUD SLIDES, FLOODING",Idaho,1381220.0,0.0,1447578.0
1269,1999-04-09T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES AND FLOODING",Louisiana,1065158.0,332976.0,1037030.0
4102,2013-02-22T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Louisiana,456668.0,478069.09,929.91
4015,2011-08-18T00:00:00.000Z,Flood,FLOODING,Louisiana,2026125.0,363128.91,1762074.09
1863,2009-12-10T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Louisiana,895384.0,307715.85,631452.15
4352,2017-12-20T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,New Mexico,2123939.0,2548727.0,0.0
1668,2006-11-02T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Louisiana,2539771.0,3266653.0,0.0
4176,2014-05-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Alabama,8057037.0,60933.79,8390092.21
4228,2015-07-13T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Louisiana,1216154.0,209208.89,1066415.11
1512,2004-04-21T00:00:00.000Z,Flood,FLOODING,Massachusetts,243225.0,304266.0,8570.0
1642,2006-05-25T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Massachusetts,2600528.0,1462884.0,1881915.0
1614,2005-11-10T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Massachusetts,763899.0,425583.0,556944.0
4536,2020-04-16T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",Mississippi,6083072.0,5450314.57,1646602.43
4416,2019-02-25T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Texas,6328556.0,2042181.15,5552085.85
1813,2009-01-05T00:00:00.000Z,Severe Ice Storm,SEVERE WINTER STORM AND FLOODING,Massachusetts,8325842.0,3120148.0,5612828.0
4376,2018-07-02T00:00:00.000Z,Flood,SEVERE STORM AND FLOODING,Maryland,2574634.0,2508779.5,570481.5
4381,2018-08-02T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Michigan,3742816.0,1545267.35,2946111.65
4709,2023-04-27T00:00:00.000Z,Flood,"SEVERE STORMS, TORNADOES, AND FLOODING",Florida,9272431.0,11126917.0,0.0
1371,2001-05-16T00:00:00.000Z,Severe Storm,SEVERE WINTER STORMS AND FLOODING,Maine,196006.0,43180.0,208923.0
4108,2013-03-25T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",Maine,466754.0,240448.49,249129.51
1815,2009-01-09T00:00:00.000Z,Severe Storm,SEVERE WINTER STORM AND FLOODING,Maine,1553329.0,949235.0,680052.0
1508,2004-02-05T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, SNOW MELT AND ICE JAMS",Maine,144095.0,32418.0,152917.0
4358,2018-04-12T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Kentucky,7775136.0,3523821.76,5806341.24
976,1993-01-15T00:00:00.000Z,Coastal Storm,SEVERE COASTAL STORM & FLOODING,Delaware,111504.0,0.0,120768.0
1326,2000-04-28T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND ICE JAMS",Maine,314981.0,71979.0,333150.0
1691,2007-04-20T00:00:00.000Z,Flood,FLOODING,Maine,179335.0,44493.0,186168.0
1693,2007-04-25T00:00:00.000Z,Severe Storm,SEVERE STORMS AND INLAND AND COASTAL FLOODING,Maine,3988075.0,2575430.0,2554032.0
1852,2009-07-30T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND LANDSLIDES",Maine,461009.0,254317.0,229235.0
1953,2011-02-01T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Maine,263363.0,83122.0,193119.0
4354,2018-01-02T00:00:00.000Z,Severe Storm,SEVERE STORM AND FLOODING,Maine,1099566.0,1310966.1,8512.9
4208,2015-03-12T00:00:00.000Z,Snowstorm,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",Maine,393113.0,5319.97,407016.03
4279,2016-09-16T00:00:00.000Z,Flood,SEVERE STORM AND FLOODING,Maryland,1044224.0,771453.87,323833.13
1033,1994-07-07T00:00:00.000Z,Tornado,"TORNADOES, FLOODING TORRENTIAL RAIN(TROP STORM ALBERTO)",Georgia,62815979.0,3211766.0,60955469.0
1209,1998-03-11T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Georgia,8520026.0,0.0,8777569.0
1652,2006-07-02T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",Maryland,1274514.0,853750.0,760524.0
1644,2006-05-25T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Maine,362064.0,379792.0,85895.0
1920,2010-07-01T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Maine,219732.0,74616.0,155861.0
1591,2005-06-29T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, SNOW MELT, AND ICE JAMS",Maine,493257.0,177883.0,456544.0
1716,2007-08-08T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Maine,244231.0,164922.0,149208.0
1755,2008-05-09T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Maine,825863.0,654829.0,211419.0
1527,2004-06-30T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Michigan,3125321.0,2787008.0,1153207.0
1413,2002-05-06T00:00:00.000Z,Flood,FLOODING,Michigan,756962.0,192987.0,771719.0
880,1990-10-19T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Georgia,426194.0,0.0,455147.0
4326,2017-08-02T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Michigan,753472.0,440463.64,463702.36
1777,2008-07-14T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",Michigan,2358549.0,1293351.0,1175154.0
1532,2004-07-29T00:00:00.000Z,Typhoon,"FLOODING, HIGH SURF, HIGH WINDS, AND WIND-DRIVEN RAIN ASSOCIATED W TYPH TINGTING",Northern Mariana Islands,146831.0,59850.0,122040.0
857,1990-02-23T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNAODES & FLOODING",Georgia,750805.0,0.0,796538.0
4110,2013-04-19T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",Massachusetts,7748110.0,4577679.05,3549313.95
1541,2004-08-26T00:00:00.000Z,Typhoon,"FLOODING, HIGH SURF, STORM SURGE, AND HIGH WINDS AS A RESULT OF SUPER TYPHOON CH",Northern Mariana Islands,1699817.0,574904.0,1559063.0
4663,2022-07-29T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Kentucky,96768780.0,68457976.27,47664559.73
1398,2001-12-07T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES AND FLOODING",Mississippi,1539626.0,1163209.0,804721.0
1147,1996-11-26T00:00:00.000Z,Flood,"PROLONGED AND HEAVY RAINS, HIGH SURF,FLOODING,LAND/MUD SLIDE",Hawaii,746081.0,89045.0,688807.0
4647,2022-03-15T00:00:00.000Z,Coastal Storm,SEVERE STORM AND FLOODING,Maine,620252.0,723627.0,0.0
1983,2011-05-11T00:00:00.000Z,Flood,FLOODING,Mississippi,3763698.0,2503762.0,1443981.0
4543,2020-05-08T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",North Carolina,2555886.0,475187.2,2506679.8
4478,2020-03-12T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Mississippi,1255154.0,1044319.6,420026.4
4295,2017-01-25T00:00:00.000Z,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Mississippi,1801608.0,23785.46,1865921.54
4314,2017-05-22T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Mississippi,2295632.0,2007530.17,400357.83
1753,2008-05-08T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Mississippi,277648.0,174852.0,116373.0
4415,2019-02-14T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADO",Mississippi,1038087.0,185653.61,1060049.39
4450,2019-06-20T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Mississippi,712724.0,852416.0,0.0
1424,2002-07-03T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Montana,207981.0,43196.0,218396.0
965,1992-10-02T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Iowa,256050.0,0.0,275195.0
4278,2016-08-26T00:00:00.000Z,Severe Storm,"SEVERE STORM, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",Kentucky,898247.0,25580.13,916590.87
1346,2000-10-17T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Michigan,33020508.0,16710547.0,25581719.0
4658,2022-07-08T00:00:00.000Z,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",Minnesota,1856909.0,1913120.5,315168.5
1154,1997-01-04T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, MUD AND LANDSLIDES",Idaho,3652627.0,0.0,3785829.0
1102,1996-02-11T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Idaho,2866735.0,0.0,2990708.0
1365,2001-04-17T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,Mississippi,575983.0,313087.0,417677.0
